nm0000001,Fred Astaire
nm0000317,Clancy Brown
nm0000318,Tim Burton
nm0000321,Gabriel Byrne
nm0000323,Michael Caine
nm0000325,David Caruso
nm0000332,Don Cheadle
nm0000336,James Coburn
nm0000338,Francis Ford Coppola
nm0000339,Roger Corman
nm0000341,Michael Crichton
nm0000342,James Cromwell
nm0000343,David Cronenberg
nm0000345,Billy Crystal
nm0000348,Tony Curtis
nm0000352,Vincent D'Onofrio
nm0000353,Willem Dafoe
nm0000354,Matt Damon
nm0000361,Brian De Palma
nm0000362,Danny DeVito
nm0000363,Loren Dean
nm0000367,Gérard Depardieu
nm0000369,Matt Dillon
nm0000374,Brad Dourif
nm0000375,Robert Downey Jr.
nm0000377,Richard Dreyfuss
nm0000380,Robert Duvall
nm0000381,Anthony Edwards
nm0000385,Sam Elliott
nm0000386,Roland Emmerich
nm0000387,Robert Englund
nm0000388,R. Lee Ermey
nm0000389,Emilio Estevez
nm0000391,Rupert Everett
nm0000393,Peter Falk
nm0000399,David Fincher
nm0000401,Laurence Fishburne
nm0000406,John Ford
nm0000409,Brendan Fraser
nm0000411,Edward Furlong
nm0000412,Andy Garcia
nm0000416,Terry Gilliam
nm0000417,Crispin Glover
nm0000418,Danny Glover
nm0000421,Cuba Gooding Jr.
nm0000422,John Goodman
nm0000424,Hugh Grant
nm0000430,Steve Guttenberg
nm0000431,Taylor Hackford
nm0000432,Gene Hackman
nm0000434,Mark Hamill
nm0000436,Curtis Hanson
nm0000437,Woody Harrelson
nm0000438,Ed Harris
nm0000442,Rutger Hauer
nm0000448,Lance Henriksen
nm0000450,Philip Seymour Hoffman
nm0000454,Dennis Hopper
nm0000457,John Hurt
nm0000458,William Hurt
nm0000459,Timothy Hutton
nm0000461,Michael Ironside
nm0000464,Jim Jarmusch
nm0000469,James Earl Jones
nm0000471,Raul Julia
nm0000472,Boris Karloff
nm0000474,Michael Keaton
nm0000485,Fritz Lang
nm0000489,Christopher Lee
nm0000491,John Leguizamo
nm0000493,Jack Lemmon
nm0000498,Matthew Lillard
nm0000501,Ray Liotta
nm0000502,Christopher Lloyd
nm0000507,Rob Lowe
nm0000509,Bela Lugosi
nm0000513,William H. Macy
nm0000514,Michael Madsen
nm0000518,John Malkovich
nm0000520,Michael Mann
nm0000527,Walter Matthau
nm0000532,Malcolm McDowell
nm0000538,Colm Meaney
nm0000543,Sal Mineo
nm0000546,Matthew Modine
nm0000549,Roger Moore
nm0000551,Dermot Mulroney
nm0000552,Eddie Murphy
nm0000553,Liam Neeson
nm0000554,Sam Neill
nm0000558,Leslie Nielsen
nm0000559,Leonard Nimoy
nm0000560,Nick Nolte
nm0000564,Peter O'Toole
nm0000568,Frank Oz
nm0000570,Alan Parker
nm0000574,Jason Patric
nm0000576,Sean Penn
nm0000577,George Peppard
nm0000578,Anthony Perkins
nm0000579,Ron Perlman
nm0000580,Luke Perry
nm0000581,Joseph L. Mankiewicz
nm0000582,Joe Pesci
nm0000583,Wolfgang Petersen
nm0000587,Donald Pleasence
nm0000591,Roman Polanski
nm0000592,Pete Postlethwaite
nm0000596,Jonathan Pryce
nm0000598,Dennis Quaid
nm0000601,Harold Ramis
nm0000602,Robert Redford
nm0000604,John C. Reilly
nm0000606,Jean Reno
nm0000608,Burt Reynolds
nm0000609,Ving Rhames
nm0000610,Giovanni Ribisi
nm0000616,Eric Roberts
nm0000619,Tim Roth
nm0000620,Mickey Rourke
nm0000621,Kurt Russell
nm0000626,John Sayles
nm0000628,Johnathon Schaech
nm0000630,Liev Schreiber
nm0000631,Ridley Scott
nm0000633,Tom Selleck
nm0000634,Peter Sellers
nm0000637,Tupac Shakur
nm0000638,William Shatner
nm0000640,Martin Sheen
nm0000641,Gary Sinise
nm0000648,Wesley Snipes
nm0000649,Paul Sorvino
nm0000652,James Spader
nm0000654,Terence Stamp
nm0000655,Eric Stoltz
nm0000657,David Strathairn
nm0000659,Barbra Streisand
nm0000661,Donald Sutherland
nm0000662,Kiefer Sutherland
nm0000665,D.B. Sweeney
nm0000671,Billy Bob Thornton
nm0000685,Jon Voight
nm0000686,Christopher Walken
nm0000687,J.T. Walsh
nm0000698,Gene Wilder
nm0000708,Billy Zane
nm0000709,Robert Zemeckis
nm0000719,F. Murray Abraham
nm0000728,Mario Adorf
nm0000729,Casey Affleck
nm0000730,John Agar
nm0000731,Brian Aherne
nm0000732,Danny Aiello
nm0000734,Eddie Albert
nm0000741,Tim Allen
nm0000747,Don Ameche
nm0000748,Leon Ames
nm0000759,Paul Thomas Anderson
nm0000763,Dana Andrews
nm0000770,David Anspaugh
nm0000778,Alfonso Arau
nm0000784,Pedro Armendáriz
nm0000786,George Armitage
nm0000790,James Arness
nm0000792,Tom Arnold
nm0000797,Hal Ashby
nm0000798,Linden Ashby
nm0000799,Edward Asner
nm0000800,Armand Assante
nm0000810,Gene Autry
nm0000811,Frankie Avalon
nm0000814,John G. Avildsen
nm0000816,Jon Avnet
nm0000817,Lew Ayres
nm0000821,Amitabh Bachchan
nm0000822,Jim Backus
nm0000824,John Badham
nm0000829,Stuart Baird
nm0000837,Bob Balaban
nm0000838,Daniel Baldwin
nm0000842,Martin Balsam
nm0000846,Ian Bannen
nm0000851,Lex Barker
nm0000855,Raymond J. Barry
nm0000859,Lionel Barrymore
nm0000861,Freddie Bartholomew
nm0000865,Richard Basehart
nm0000867,Jason Bateman
nm0000869,Alan Bates
nm0000874,Steven Bauer
nm0000877,Lamberto Bava
nm0000881,Michael Bay
nm0000885,Ned Beatty
nm0000887,Harold Becker
nm0000890,Noah Beery Jr.
nm0000891,Wallace Beery
nm0000893,Ed Begley Jr.
nm0000897,Ralph Bellamy
nm0000902,Jim Belushi
nm0000903,Brian Benben
nm0000904,William Bendix
nm0000905,Roberto Benigni
nm0000913,Robby Benson
nm0000914,Robert Benton
nm0000915,Bruce Beresford
nm0000918,Helmut Berger
nm0000921,Andrew Bergman
nm0000923,Busby Berkeley
nm0000926,Milton Berle
nm0000934,Bernardo Bertolucci
nm0000942,Theodore Bikel
nm0000953,Peter Bogdanovich
nm0000955,Ward Bond
nm0000958,John Boorman
nm0000959,Powers Boothe
nm0000960,Barry Bostwick
nm0000961,Timothy Bottoms
nm0000964,Charles Boyer
nm0000965,Danny Boyle
nm0000969,Lillo Brancato
nm0000970,Jonathan Brandis
nm0000973,Benjamin Bratt
nm0000974,Walter Brennan
nm0000976,Martin Brest
nm0000977,Beau Bridges
nm0000978,Lloyd Bridges
nm0000979,Wilford Brimley
nm0000980,Jim Broadbent
nm0000981,James Brolin
nm0000982,Josh Brolin
nm0000983,Albert Brooks
nm0000984,Avery Brooks
nm0000989,Yul Brynner
nm0000994,Raymond Burr
nm0000996,LeVar Burton
nm0000997,Gary Busey
nm0000999,Red Buttons
nm0001001,James Caan
nm0001002,Dean Cain
nm0001008,Frank Capra
nm0001013,Harry Carey Jr.
nm0001016,David Carradine
nm0001017,John Carradine
nm0001018,Keith Carradine
nm0001019,Robert Carradine
nm0001023,John Cassavetes
nm0001029,Jim Caviezel
nm0001030,John Cazale
nm0001031,Claude Chabrol
nm0001033,Lon Chaney Jr.
nm0001047,Michael Cimino
nm0001050,Montgomery Clift
nm0001053,Ethan Coen
nm0001054,Joel Coen
nm0001056,Dabney Coleman
nm0001067,Jackie Coogan
nm0001072,Joseph Cotten
nm0001074,Ronny Cox
nm0001075,Peter Coyote
nm0001078,Bing Crosby
nm0001079,Scatman Crothers
nm0001081,Cameron Crowe
nm0001082,Billy Crudup
nm0001092,Mark Dacascos
nm0001101,Ted Danson
nm0001102,Joe Dante
nm0001103,Tony Danza
nm0001108,Robert Davi
nm0001117,Bruce Davison
nm0001120,Vittorio De Sica
nm0001123,Dom DeLuise
nm0001124,Cecil B. DeMille
nm0001125,Benicio Del Toro
nm0001128,Alain Delon
nm0001129,Jonathan Demme
nm0001133,Brian Dennehy
nm0001135,John Derek
nm0001136,Bruce Dern
nm0001143,Kevin Dillon
nm0001149,Richard Donner
nm0001150,James Doohan
nm0001151,Stephen Dorff
nm0001154,Michael Dudikoff
nm0001158,Keir Dullea
nm0001164,Charles Durning
nm0001165,Charles S. Dutton
nm0001166,James Duval
nm0001172,Christopher Eccleston
nm0001173,Aaron Eckhart
nm0001175,Blake Edwards
nm0001181,Jack Elam
nm0001185,Hector Elizondo
nm0001191,Adam Sandler
nm0001194,Jeff Fahey
nm0001195,Douglas Fairbanks Jr.
nm0001207,José Ferrer
nm0001208,Miguel Ferrer
nm0001211,W.C. Fields
nm0001214,Mike Figgis
nm0001215,Albert Finney
nm0001219,Gary Fleder
nm0001224,Errol Flynn
nm0001228,Peter Fonda
nm0001229,Glenn Ford
nm0001233,Robert Forster
nm0001235,William Forsythe
nm0001238,Jesús Franco
nm0001239,John Frankenheimer
nm0001241,Stephen Frears
nm0001243,William Friedkin
nm0001258,James Garner
nm0001260,John Gavin
nm0001262,Ben Gazzara
nm0001263,Jason Gedrick
nm0001276,Jackie Gleason
nm0001277,Scott Glenn
nm0001283,Louis Gossett Jr.
nm0001285,Elliott Gould
nm0001288,Kelsey Grammer
nm0001289,Stewart Granger
nm0001295,Graham Greene
nm0001299,Thomas Ian Griffith
nm0001301,Charles Grodin
nm0001305,Lukas Haas
nm0001310,Kevin Peter Hall
nm0001313,George Hamilton
nm0001316,Oliver Hardy
nm0001321,Richard Harris
nm0001322,Rex Harrison
nm0001324,Ian Hart
nm0001326,Josh Hartnett
nm0001328,Howard Hawks
nm0001330,Sterling Hayden
nm0001331,Todd Haynes
nm0001334,John Heard
nm0001336,Van Heflin
nm0001345,Jim Henson
nm0001346,Edward Herrmann
nm0001352,Terence Hill
nm0001353,Walter Hill
nm0001354,Ciarán Hinds
nm0001358,Hal Holbrook
nm0001362,Bob Hope
nm0001364,Bob Hoskins
nm0001366,Leslie Howard
nm0001367,C. Thomas Howell
nm0001368,Ernie Hudson
nm0001369,Rock Hudson
nm0001371,Tom Hulce
nm0001374,Jeffrey Hunter
nm0001379,John Huston
nm0001380,Jim Hutton
nm0001382,Peter Hyams
nm0001383,David Hyde Pierce
nm0001395,Richard Jaeckel
nm0001397,Brion James
nm0001403,Neil Jordan
nm0001410,Lawrence Kasdan
nm0001414,Danny Kaye
nm0001415,Elia Kazan
nm0001417,Brian Keith
nm0001418,David Keith
nm0001420,DeForest Kelley
nm0001421,George Kennedy
nm0001424,Udo Kier
nm0001427,Greg Kinnear
nm0001433,Yaphet Kotto
nm0001434,Kris Kristofferson
nm0001439,Anthony LaPaglia
nm0001445,Martin Landau
nm0001446,Michael Landon
nm0001449,Frank Langella
nm0001452,Charles Laughton
nm0001457,James Le Gros
nm0001459,Denis Leary
nm0001462,Jason Scott Lee
nm0001466,Sergio Leone
nm0001469,Barry Levinson
nm0001471,Jerry Lewis
nm0001475,John Lithgow
nm0001486,Sidney Lumet
nm0001492,Kyle MacLachlan
nm0001495,Patrick Macnee
nm0001497,Tobey Maguire
nm0001498,John Mahoney
nm0001500,Karl Malden
nm0001505,Joe Mantegna
nm0001507,Cheech Marin
nm0001508,Penny Marshall
nm0001509,Dean Martin
nm0001511,Lee Marvin
nm0001513,Tim Matheson
nm0001514,Victor Mature
nm0001515,Joseph Mazzello
nm0001520,Christopher McDonald
nm0001522,Roddy McDowall
nm0001524,Paul McGann
nm0001525,John C. McGinley
nm0001533,Meat Loaf
nm0001535,Dale Midkiff
nm0001536,Toshirô Mifune
nm0001537,Ray Milland
nm0001538,Jonny Lee Miller
nm0001544,Ricardo Montalban
nm0001545,Dudley Moore
nm0001552,Pat Morita
nm0001558,Mr. T
nm0001559,Audie Murphy
nm0001561,Jim Nabors
nm0001565,Mike Newell
nm0001566,Mike Nichols
nm0001569,Chuck Norris
nm0001570,Edward Norton
nm0001572,Danny Nucci
nm0001574,Michael O'Keefe
nm0001587,Alan J. Pakula
nm0001588,Jack Palance
nm0001590,Chazz Palminteri
nm0001592,Joe Pantoliano
nm0001597,Mandy Patinkin
nm0001602,Guy Pearce
nm0001603,Sam Peckinpah
nm0001606,Chris Penn
nm0001618,Joaquin Phoenix
nm0001626,Christopher Plummer
nm0001628,Sydney Pollack
nm0001635,William Powell
nm0001637,Vincent Price
nm0001638,Jürgen Prochnow
nm0001640,Richard Pryor
nm0001642,Randy Quaid
nm0001644,Aidan Quinn
nm0001647,Claude Rains
nm0001650,Michael Rapaport
nm0001652,John Ratzenberger
nm0001657,Oliver Reed
nm0001659,Christopher Reeve
nm0001661,Rob Reiner
nm0001664,James Remar
nm0001667,Jonathan Rhys Meyers
nm0001673,Jason Robards
nm0001675,Robert Rodriguez
nm0001678,Roy Rogers
nm0001679,Mark Rolston
nm0001682,Mickey Rooney
nm0001695,George Sanders
nm0001696,Julian Sands
nm0001697,Chris Sarandon
nm0001698,John Savage
nm0001699,Telly Savalas
nm0001700,Nancy Savoca
nm0001705,Rob Schneider
nm0001706,Michael Schoeffling
nm0001707,Paul Schrader
nm0001708,Joel Schumacher
nm0001714,Campbell Scott
nm0001715,George C. Scott
nm0001716,Tony Scott
nm0001719,George Segal
nm0001725,Omar Sharif
nm0001727,Robert Shaw
nm0001729,Craig Sheffer
nm0001731,Sam Shepard
nm0001737,Martin Short
nm0001741,Bryan Singer
nm0001743,Marc Singer
nm0001744,Tom Sizemore
nm0001745,Stellan Skarsgård
nm0001747,Charles Martin Smith
nm0001752,Steven Soderbergh
nm0001757,Kevin Sorbo
nm0001759,Vincent Spano
nm0001765,Harry Dean Stanton
nm0001768,Rod Steiger
nm0001773,David Ogden Stiers
nm0001774,Ben Stiller
nm0001777,Dean Stockwell
nm0001780,Peter Stormare
nm0001791,Robert Taylor
nm0001792,Rod Taylor
nm0001796,Richard Thomas
nm0001800,Rip Torn
nm0001801,Robert Towne
nm0001803,Danny Trejo
nm0001804,Stanley Tucci
nm0001806,John Turturro
nm0001812,Lee Van Cleef
nm0001813,Dick Van Dyke
nm0001821,Jan-Michael Vincent
nm0001822,Robert Wagner
nm0001823,Tom Waits
nm0001825,Andrew Kevin Walker
nm0001826,M. Emmet Walsh
nm0001827,Ray Walston
nm0001831,David Warner
nm0001832,Sam Waterston
nm0001834,Damon Wayans
nm0001837,Peter Weir
nm0001841,George Wendt
nm0001843,James Whale
nm0001844,Frank Whaley
nm0001845,Forest Whitaker
nm0001847,Richard Widmark
nm0001850,Billy Dee Williams
nm0001852,Treat Williams
nm0001870,Robert Young
nm0001872,Steve Zahn
nm0001875,Anthony Zerbe
nm0001884,Max von Sydow
nm0001885,Lars von Trier
nm0001902,Edward Albert
nm0001922,Jean-Pierre Aumont
nm0001924,Hoyt Axton
nm0001935,Noah Beery
nm0001938,Richard Belzer
nm0001939,Maurice Benard
nm0001942,Luca Bercovici
nm0001948,Charles Bickford
nm0001952,Rubén Blades
nm0001958,Dirk Bogarde
nm0001967,Peter Boyle
nm0001971,Ewen Bremner
nm0001975,Roscoe Lee Browne
nm0001976,Horst Buchholz
nm0001983,Rory Calhoun
nm0001993,Vincent Cassel
nm0001994,Michael Caton-Jones
nm0001996,Jeff Chandler
nm0002001,Maurice Chevalier
nm0002006,Thomas Haden Church
nm0002011,Lee J. Cobb
nm0002012,Randall 'Tex' Cobb
nm0002013,Charles Coburn
nm0002016,William Conrad
nm0002017,Richard Conte
nm0002018,Tom Conti
nm0002024,Broderick Crawford
nm0002025,Hume Cronyn
nm0002027,Ben Cross
nm0002030,George Cukor
nm0002031,Michael Curtiz
nm0002037,Cliff De Young
nm0002046,Brian Donlevy
nm0002048,Melvyn Douglas
nm0002053,Dan Duryea
nm0002057,Richard Edson
nm0002061,Maurice Elvey
nm0002066,Ramon Estevez
nm0002070,Richard Farnsworth
nm0002071,Will Ferrell
nm0002072,Mel Ferrer
nm0002078,Frederic Forrest
nm0002079,Steve Forrest
nm0002080,Bob Fosse
nm0002086,Lucio Fulci
nm0002094,Vittorio Gassman
nm0002095,Will Geer
nm0002099,Henry Gibson
nm0002116,Paul Guilfoyle
nm0002120,Lasse Hallström
nm0002129,Gregory Harrison
nm0002131,Laurence Harvey
nm0002134,Paul Henreid
nm0002137,Arthur Hiller
nm0002138,Gregory Hines
nm0002139,Judd Hirsch
nm0002143,Edward Everett Horton
nm0002144,John Houseman
nm0002145,Trevor Howard
nm0002147,Tab Hunter
nm0002159,Alejandro Agresti
nm0002160,Moustapha Akkad
nm0002164,Irving Allen
nm0002175,Ken Annakin
nm0002195,Hy Averback
nm0002231,Gian Maria Volontè
nm0002233,Erich von Stroheim
nm0002269,Edmon Ryan
nm0002270,Rex Ingram
nm0002285,Pat O'Brien
nm0002311,Montagu Love
nm0002332,Stephen Lang
nm0002338,Jack Clayton
nm0002369,John Williams
nm0002503,Harry Carey
nm0002545,Preston Sturges
nm0002573,Bill Corcoran
nm0002657,Gary Ross
nm0002700,Malcolm D. Lee
nm0002893,Linda Shayne
nm0002907,Alexander Skarsgård
nm0002994,Kevin McCarthy
nm0003062,Alan Dinehart
nm0003104,Fabian
nm0003110,Cesar Romero
nm0003180,David S. Cass Sr.
nm0003225,Ed Begley
nm0003244,Jordi Mollà
nm0003277,Joseph Crehan
nm0003318,Howard Duff
nm0003337,Karlheinz Böhm
nm0003339,Herbert Marshall
nm0003373,James P. Hogan
nm0003403,Timothy Bond
nm0003418,Rob Cohen
nm0003424,Hank Mann
nm0003506,James Mangold
nm0003593,Fred Zinnemann
nm0003620,Kevin Smith
nm0003706,Tim McCoy
nm0003941,David Winning
nm0004051,Brian Cox
nm0004056,Andrew Stanton
nm0004149,Bo Svenson
nm0004258,Pino Ammendola
nm0004272,Paul Hipp
nm0004286,Clifton Collins Jr.
nm0004306,George Miller
nm0004462,Jean-Louis Trintignant
nm0004464,Heinz Rühmann
nm0004496,Van Johnson
nm0004517,Jason Alexander
nm0004586,Byron Werner
nm0004646,Antonio Sabato
nm0004654,Nicolas Gessner
nm0004675,Phil Alden Robinson
nm0004702,Marty Allen
nm0004735,James Van Der Beek
nm0004740,Bill Bellamy
nm0004767,Joseph Bologna
nm0004778,Adrien Brody
nm0004784,Tony Bui
nm0004790,Scott Caan
nm0004794,Glen Campbell
nm0004797,Bruno Campos
nm0004820,Morris Chestnut
nm0004821,Michael Chiklis
nm0004834,Stephen Collins
nm0004857,Tim Daly
nm0004875,Taye Diggs
nm0004879,Snoop Dogg
nm0004883,Tate Donovan
nm0004885,Fred Dryer
nm0004886,Bill Duke
nm0004898,Omar Epps
nm0004912,Oded Fehr
nm0004936,Ben Foster
nm0004937,Jamie Foxx
nm0004951,Brad Garrett
nm0004978,Adrian Grenier
nm0004983,Buddy Hackett
nm0005019,Bo Hopkins
nm0005020,Josh Hopkins
nm0005023,Djimon Hounsou
nm0005024,Terrence Howard
nm0005042,Jason Isaacs
nm0005048,Thomas Jane
nm0005069,Spike Jonze
nm0005076,Jeffrey Katzenberg
nm0005078,Stacy Keach
nm0005124,John Lasseter
nm0005132,Heath Ledger
nm0005148,Delroy Lindo
nm0005157,Jake Lloyd
nm0005162,Robert Loggia
nm0005171,Angus Macfadyen
nm0005188,James Marsden
nm0005190,Garry Marshall
nm0005196,Paul Mazursky
nm0005197,Des McAnuff
nm0005210,Tim McGraw
nm0005212,Ian McKellen
nm0005231,Dash Mihok
nm0005245,Shemar Moore
nm0005266,Craig T. Nelson
nm0005268,Willie Nelson
nm0005273,Alessandro Nivola
nm0005278,Jerry O'Connell
nm0005315,Jeremy Piven
nm0005327,Freddie Prinze Jr.
nm0005331,Francesco Quinn
nm0005342,Norman Reedus
nm0005348,Carl Reiner
nm0005351,Ryan Reynolds
nm0005354,Busta Rhymes
nm0005366,Jay Roach
nm0005367,Brian Robbins
nm0005377,Sam Rockwell
nm0005387,Joe Roth
nm0005403,Jason Schwartzman
nm0005421,Ron Shelton
nm0005430,Gene Simmons
nm0005436,John Singleton
nm0005454,Scott Speedman
nm0005467,Jerry Stiller
nm0005471,Peter Strauss
nm0005475,David Sutcliffe
nm0005509,Jon Turteltaub
nm0005524,Courtney B. Vance
nm0005541,Marlon Wayans
nm0005544,Harvey Weinstein
nm0005554,James Wilder
nm0005561,Luke Wilson
nm0005562,Owen Wilson
nm0005563,Irwin Winkler
nm0005570,Bud Yorkin
nm0005738,Byron Haskin
nm0005789,Rudolph Maté
nm0005847,Phil Rosen
nm0005898,Ted Tetzlaff
nm0006249,Satyajit Ray
nm0006276,Victor Schertzinger
nm0006369,Ashok Kumar
nm0006452,Stanley Kramer
nm0006554,Rodrigo García
nm0006615,Mauro Bolognini
nm0006644,Scott D. Rosenbaum
nm0006805,Scott P. Levy
nm0006846,Ric Roman Waugh
nm0006853,Tim Hunter
nm0006854,Roger Spottiswoode
nm0006889,Herbert Ross
nm0006893,John Vernon
nm0006943,Charles Lamont
nm0006964,Jean Sobieski
nm0007042,Herbert Lom
nm0007082,John Stockwell
nm0007210,Saul Rubinek
nm0007217,Jack Carson
nm0007218,Tom Conway
nm0007220,Ricardo Cortez
nm0007223,James Dunn
nm0007717,Dodo Abashidze
nm0007941,Bud Abbott
nm0008030,Norman Abbott
nm0008346,Hiroshi Abe
nm0008496,Walter Abel
nm0009393,Werner Abrolat
nm0009854,John Achorn
nm0009986,Josh Ackerman
nm0010240,Rodolfo Acosta
nm0010514,Alfred Adam
nm0011476,Brad Adamson
nm0011758,Tunde Adebimpe
nm0012081,Trace Adkins
nm0012524,Frank Adu
nm0012860,Laurie Agard
nm0013487,Antonio Aguilar
nm0013830,Wai-Lun Lam
nm0014963,Mashood Ajala
nm0015273,Ruslan Akhmetov
nm0015382,Adewale Akinnuoye-Agbaje
nm0015391,Claude Akins
nm0016422,Luis Alberni
nm0016776,Jack Albertson
nm0017578,Erville Alderson
nm0018416,Flex Alexander
nm0019282,James Algar
nm0019448,Manzoor Ali
nm0019996,Patrick Allen
nm0020454,Don Allen
nm0020522,Fred Allen
nm0021038,Scott Allen
nm0021147,W.J. Allen
nm0021542,Francesco Allocca
nm0021835,Joaquim de Almeida
nm0022306,Laz Alonso
nm0022883,Bruce Altman
nm0023832,Mathieu Amalric
nm0024120,Rod Amateau
nm0024151,Gaetano Amato
nm0024195,Bin Amatsu
nm0024350,Domingo Ambriz
nm0024919,Georges Aminel
nm0025309,John Amos
nm0026295,Michael Anderson Jr.
nm0026687,Erich Anderson
nm0026930,John Anderson
nm0027183,Michael Anderson
nm0027271,Paul W.S. Anderson
nm0027323,Richard Anderson
nm0027402,Sam Anderson
nm0027566,Warner Anderson
nm0028625,David Andrews
nm0028674,Harry Andrews
nm0029400,Michael Angarano
nm0030194,Morris Ankrum
nm0030516,Michael Ansara
nm0031342,Predrag Antonijevic
nm0032962,Tomas Arana
nm0034492,Carmen Argenziano
nm0034509,Vinny Argiro
nm0035060,Adam Arkin
nm0035637,Bruce Armstrong
nm0035866,R.G. Armstrong
nm0035877,Robert Armstrong
nm0036427,Edward Arnold
nm0036553,Mark Arnold
nm0037130,Fernando Arrabal
nm0038609,Ash Baron-Cohen
nm0038906,William Asher
nm0039162,Shawn Ashmore
nm0039226,John Ashton
nm0039510,Grégoire Aslan
nm0040472,William Atherton
nm0040662,Tom Atkins
nm0041136,Barry Atwater
nm0041172,Lionel Atwill
nm0041281,Rene Auberjonois
nm0041466,Jacques Aubuchon
nm0041678,John H. Auer
nm0041681,Mischa Auer
nm0042304,Sam Auster
nm0042317,Albert Austin
nm0042849,Howard Avedis
nm0042884,Joe Mari Avellana
nm0043041,James Avery
nm0043086,Tol Avery
nm0043173,Rick Aviles
nm0044021,Steven Ayromlooi
nm0044310,Myriam Aziza
nm0045800,Lloyd Bacon
nm0046112,Penn Badgley
nm0047248,Eion Bailey
nm0047264,Frederick Bailey
nm0047976,Jon Robin Baitz
nm0048389,Dee Bradley Baker
nm0048468,George Baker
nm0048491,Graham Baker
nm0048932,Simon Baker
nm0048939,Stanley Baker
nm0049307,Burt Balaban
nm0050597,Carroll Ballard
nm0050959,Pedro Pascal
nm0051086,Antoine Balpêtré
nm0051509,Eric Bana
nm0051628,George Bancroft
nm0051837,Lalchand Banerjee
nm0052203,Leslie Banks
nm0052332,Kali Bannerjee
nm0052333,Kanu Bannerjee
nm0052343,Subir Banerjee
nm0052852,John Baragrey
nm0053228,Ernie Barbarash
nm0053616,George Barbier
nm0054036,Don Barclay
nm0054077,Paris Barclay
nm0054374,Richard L. Bare
nm0055275,Reginald Barlow
nm0055864,Charlie Barnett
nm0056492,Douglas Barr
