title,year,rating,directors,actors,genres
tt0095119,1988,6.2,nm0000431,"nm0000598,nm0000459,nm0000422","Drama,Romance,Sport"
tt3115694,2014,4.2,nm5489482,"nm0000616,nm2908492","Drama,Romance,Thriller"
tt0051437,1958,6.9,nm0091430,"nm0000068,nm0301887,nm0445868,nm0043086","Drama,Western"
tt0022134,1931,6.0,nm0782707,"nm0000078,nm0822477","Drama,Romance"
tt0063829,1968,7.2,nm0789520,"nm0000020,nm0004496","Comedy,Family"
tt0015289,1924,6.6,nm0454771,"nm0001635,nm0172903","Drama,History"
tt0095930,1988,4.6,nm0002893,"nm0000885,nm0692045","Comedy,Family,Sci-Fi"
tt0018773,1928,8.1,nm0000122,"nm0614730,nm0000122,nm0305087,nm0188357,nm0204639,nm0074788,nm0761866,nm0709466","Comedy,Romance"
tt0039927,1947,6.3,nm0908831,"nm0000078,nm0362567","Adventure,Drama,Romance"
tt0049745,1956,5.9,nm0507390,"nm0000068,nm0282435,nm0269709",Western
tt0049743,1956,7.5,nm0091430,"nm0000068,nm0001511,nm0715748","Action,Western"
tt0289848,2002,5.9,nm0000601,"nm0000134,nm0000345,nm0899995","Comedy,Crime"
tt0040082,1948,6.8,nm0258015,"nm0000068,nm0371025,nm0001033",Western
tt0057952,1964,6.2,nm0368871,"nm0000078,nm0634313","Drama,Western"
tt2880664,2017,7.2,nm0083659,"nm0083659,nm2713918,nm1923536",Comedy
tt0047532,1954,6.7,"nm0231030,nm0451869",nm0648410,"Comedy,Romance"
tt0033226,1940,6.8,nm0002031,"nm0001224,nm0000068,nm0000007","Action,Drama,History"
tt0274636,2001,6.3,nm0388505,"nm0581365,nm0002099,nm0154071","Adventure,Comedy,Drama"
tt3978720,2015,6.6,nm3300820,"nm2875233,nm2208272,nm3432881,nm2516690","Comedy,Drama"
tt0094947,1988,7.6,nm0001241,nm0000518,"Drama,Romance"
tt0102761,1991,4.3,nm0697935,"nm0001229,nm0002012,nm0697961","Drama,Mystery,Thriller"
tt0049830,1956,6.8,nm0542702,"nm0000008,nm0001229,nm0000734",Comedy
tt0050719,1957,7.1,nm0211964,"nm0593192,nm0724268,nm0016776",Drama
tt0089941,1985,7.3,nm0464846,"nm0000685,nm0000616,nm0373600","Action,Adventure,Drama"
tt0305973,2002,5.7,nm0000115,"nm0290556,nm0001765","Crime,Drama"
tt0051047,1957,7.4,nm0091430,"nm0000068,nm0095524,nm0402277","Romance,Thriller,Western"
tt0047476,1952,5.8,nm0045800,"nm0000053,nm0402277,nm0118000","Comedy,Drama"
tt0109994,1994,7.2,nm0344230,"nm0250910,nm0112737,nm0632457","Drama,War"
tt5252624,2015,5.6,nm0132414,"nm0000616,nm0108637",Thriller
tt0064571,1969,5.7,nm0144758,"nm0821277,nm0004496,nm0704719","Drama,War"
tt0106464,1993,6.5,nm0000151,"nm0000418,nm0000532,nm0923366",Drama
tt0107594,1993,5.7,nm0579466,"nm0000131,nm0000514,nm0001125","Comedy,Crime,Drama"
tt0036602,1944,6.7,nm0782707,"nm0832011,nm0001682","Comedy,Romance"
tt0033389,1941,5.7,"nm0588183,nm0097648","nm0001791,nm0002046,nm0402842","Drama,Western"
tt0033383,1941,5.9,nm0191899,"nm0000068,nm0000763,nm0791805",Western
tt0116928,1996,5.1,"nm0853041,nm0004767",nm0004767,"Comedy,Romance"
tt0073026,1975,6.5,nm0006889,"nm0001001,nm0001725,nm0001522","Comedy,Drama"
tt0047101,1954,7.2,nm0000485,"nm0001229,nm0002024,nm0118000","Drama,Romance"
tt0279331,2002,6.6,nm0005421,"nm0000621,nm0000609,nm0005454","Crime,Drama,Thriller"
tt0041199,1949,6.2,nm0295367,"nm0606431,nm0485518,nm0570190","Crime,Drama,Mystery"
tt0326976,2003,5.1,nm0202999,"nm0364963,nm0001698,nm0000616","Drama,Thriller"
tt0772168,2007,6.8,nm1475479,nm0000131,Drama
tt0382255,2004,7.0,nm1422630,"nm1460812,nm1460751,nm0756251",Drama
tt0048412,1955,6.5,nm0788058,"nm0335048,nm0000063,nm0336335","Crime,Drama"
tt3813310,2015,6.3,nm1218281,"nm0000102,nm6627667,nm4881741,nm0924154","Crime,Thriller"
tt0023567,1932,6.2,nm0496505,"nm0531962,nm0003706,nm0643048,nm0000078","Action,Western"
tt0479880,2007,4.2,nm0632970,"nm0000800,nm0001424,nm0076780,nm1230639","Action,Crime,Drama"
tt0074880,1976,7.0,nm0705444,"nm0264512,nm0812114,nm0831685",Drama
tt0419816,2005,6.8,nm0003180,nm0001535,"Drama,Romance"
tt0273253,2001,6.1,"nm0466430,nm0466428","nm0466430,nm0445316",Comedy
tt0047603,1954,6.5,nm0920074,"nm0000053,nm0002147","Drama,Western"
tt0138749,2000,6.9,"nm0005076,nm0074426,nm0666802","nm0000177,nm0000110,nm0000800","Adventure,Animation,Comedy"
tt0010137,1919,7.5,nm0001124,"nm0223296,nm0286379",Drama
tt0112583,1995,5.7,nm0768249,"nm0000633,nm0040472,nm0354024",Thriller
tt0121804,1998,6.9,nm0872442,"nm0000310,nm0081863","Action,Adventure,Drama"
tt3488184,2015,5.6,nm0125887,"nm0005403,nm0011758",Comedy
tt0064116,1968,8.5,nm0001466,"nm0000020,nm0000314,nm0001673",Western
tt0443489,2006,6.5,nm0174374,"nm0004937,nm0000552,nm0000418","Drama,Music"
tt0040825,1948,6.8,nm0781292,"nm0804026,nm0002046,nm0183459","Comedy,History,War"
tt0071477,1974,7.7,nm0425593,"nm0000640,nm0000885,nm0000997",Drama
tt0069693,1973,7.0,nm0507690,"nm0000020,nm0000559,nm0533013","Crime,Drama,Thriller"
tt1009019,2009,4.5,nm0071767,"nm0711058,nm0000616,nm0511349",Drama
tt6111830,2016,5.2,nm0213983,"nm0743768,nm0000616","Comedy,Drama,Romance"
tt0093073,1987,6.4,nm0000338,"nm0001001,nm0000469,nm0000665","Drama,Romance,War"
tt0035447,1942,6.1,nm0401680,"nm0668361,nm0000068","Drama,Romance,War"
tt0072288,1974,7.1,nm0001047,"nm0000142,nm0000313,nm0507212","Comedy,Crime,Drama"
tt0071532,1974,7.3,nm0718554,"nm0001001,nm0000649,nm0138885","Crime,Drama"
tt0034182,1941,7.1,nm0368871,"nm0000078,nm0002503","Adventure,Drama,Romance"
tt0074777,1976,6.3,nm0001415,"nm0000134,nm0000348,nm0000053","Drama,Romance"
tt0790736,2013,5.6,nm0777881,"nm0005351,nm0000313,nm0000102","Action,Adventure,Comedy"
tt1242548,2009,5.9,nm0006644,"nm0001305,nm0954225,nm0728762,nm1835774","Drama,Music"
tt0057820,1964,5.9,nm0550892,"nm0001229,nm0002048,nm0000822","Comedy,War,Western"
tt0052702,1959,4.7,nm0338774,"nm0001017,nm0071636,nm0486742","Adventure,Sci-Fi,Thriller"
tt0209144,2000,8.5,nm0634240,"nm0001602,nm0001592,nm0095478","Mystery,Thriller"
tt0100485,1990,6.2,nm0001716,"nm0000126,nm0000063,nm0587401","Action,Crime,Drama"
tt0093791,1987,7.0,nm0631799,"nm0819044,nm1483242",Sci-Fi
tt0241025,2004,6.2,nm0619762,"nm0700856,nm0001667",Drama
tt0034618,1942,6.7,nm0782707,"nm0832011,nm0001682",Comedy
tt0822854,2007,7.2,nm0298807,"nm0000242,nm0671567,nm0000418","Action,Crime,Drama"
tt0064409,1969,6.4,nm0441914,"nm0001229,nm0026930",Western
tt5304992,2018,6.5,nm0768957,"nm1412974,nm0004875","Comedy,Romance"
tt1859476,2013,5.3,nm0002159,"nm0000131,nm0004272,nm2248498,nm0002159","Comedy,Drama"
tt0382077,2005,5.9,nm0689852,nm0000134,"Drama,Horror,Mystery"
tt1933667,2017,6.8,nm0001469,"nm0000134,nm0005273,nm2080557","Crime,Drama"
tt0038990,1946,6.7,"nm0802862,nm0880618","nm0001695,nm0371775,nm0516876","Drama,Romance"
tt0142238,1993,7.3,nm0973920,"nm0299192,nm0476223","Action,Animation,Fantasy"
tt0109348,1994,7.5,nm0000095,"nm0000131,nm0001590","Comedy,Crime"
tt0050873,1957,7.0,nm0346436,"nm0002046,nm0519274,nm0416228,nm0285302","Horror,Sci-Fi"
tt0027905,1936,5.5,nm0437356,"nm0000078,nm0447580,nm0466773","Drama,Western"
tt0091411,1986,4.8,nm0505415,"nm0001682,nm0921733","Drama,Family"
tt0042784,1950,5.7,nm0550892,"nm0534045,nm0218131,nm0222596","Comedy,Romance,Western"
tt1130088,2008,6.8,nm1259871,"nm0000323,nm2389463,nm0722661",Drama
tt3460252,2015,7.8,nm0000233,"nm0000168,nm0000621,nm0324658","Crime,Drama,Mystery"
tt1020055,2009,5.7,nm0454521,"nm0000418,nm0001872,nm0777788","Crime,Horror,Mystery"
tt0074662,1977,8.3,nm0085457,"nm0000165,nm0129833,nm0000020","Comedy,Drama,Romance"
tt1078582,2008,7.0,nm0430695,"nm1787599,nm0430695,nm1360270",Drama
tt0859644,2008,6.9,nm2384632,"nm0001652,nm2422365","Comedy,Drama"
tt0070379,1973,7.4,nm0000217,"nm0000134,nm0000172,nm0698998","Crime,Drama,Thriller"
tt0070372,1973,8.0,nm0765121,"nm0001699,nm0331374,nm0001207,nm0000885","Crime,Drama"
tt0020987,1930,6.4,nm0166836,"nm0923774,nm0941298,nm0363753","Comedy,Romance"
tt0022981,1932,5.5,nm0942611,"nm0389043,nm0000078,nm1349117,nm0940617,nm0017578","Horror,Mystery,Western"
tt0027200,1935,5.6,nm0102908,"nm0000078,nm0569465,nm0267650","Drama,History,Western"
tt0055312,1961,7.3,nm0001008,"nm0001229,nm0640023","Comedy,Drama"
tt0188268,1999,5.8,nm0056492,"nm0608632,nm0668702",Drama
tt0847510,2007,6.3,nm0579690,nm1984865,Drama
tt0343737,2006,6.7,nm0000134,"nm0000354,nm0000134,nm0000285","Drama,History,Thriller"
tt0040242,1948,7.4,nm0939992,"nm0000022,nm0682074,nm0004496,nm0002046","Action,Drama,War"
tt0040245,1948,6.8,nm0258015,"nm0000068,nm0534317",Western
tt3155734,2015,4.4,nm2691863,"nm0000616,nm0087593",Fantasy
tt0087682,1984,6.7,nm0464846,"nm0001698,nm0001018,nm0000053","Drama,Romance"
tt0997038,2009,5.5,nm0425364,"nm0000616,nm0001108,nm0202966,nm0507212","Action,Thriller"
tt0120885,1997,7.1,nm0001469,"nm0000163,nm0000134,nm0000437","Comedy,Drama"
tt6295106,2017,6.1,nm0003941,"nm0000287,nm0597235","Comedy,Romance"
tt0039266,1947,6.1,nm0547446,"nm0706368,nm0107575,nm0000068","Comedy,Drama"
tt0117561,1996,7.0,nm0001752,"nm0225410,nm0001752,nm3764805,nm0021038,nm0114177,nm0178385,nm0183887,nm0186251","Comedy,Fantasy,Mystery"
tt0902982,2009,6.3,nm0941192,"nm0347140,nm0000418",Drama
tt0033076,1940,6.3,nm0498174,"nm0371775,nm0001695","Adventure,Drama,Romance"
tt0903657,2014,7.4,nm0688361,"nm0000131,nm0200452,nm0316079","Drama,Music"
tt0098439,1989,6.4,"nm0536299,nm0464846","nm0000230,nm0000621,nm0001588","Action,Comedy,Crime"
tt0039689,1947,8.1,nm0869664,"nm0000053,nm0000018","Crime,Drama"
tt0493456,2006,4.5,nm0059835,"nm0000800,nm0283292","Horror,Thriller"
tt0044997,1952,5.9,nm0307819,"nm0000053,nm0848251,nm0569902","Drama,War"
tt0371746,2008,7.9,nm0269463,"nm0000375,nm0005024,nm0000313","Action,Adventure,Sci-Fi"
tt0057012,1964,8.4,nm0000040,"nm0000634,nm0001715,nm0001330,nm0943978",Comedy
tt1860213,2016,5.9,nm0563243,"nm0000134,nm1374980",Comedy
tt0052992,1959,6.8,nm0462322,"nm0001682,nm0653942,nm0176073,nm1255799","Drama,Thriller"
tt0052993,1959,7.4,nm0836328,"nm0000018,nm0000063,nm0391096","Romance,Western"
tt0097733,1989,7.2,nm0001149,"nm0000154,nm0000418,nm0000582","Action,Crime,Thriller"
tt0780484,2007,6.6,nm2205956,"nm1087183,nm0001016,nm0000616,nm0000997",Action
tt1204975,2013,6.6,nm0005509,"nm0000134,nm0000140,nm0000151,nm0000177","Comedy,Drama"
tt0114170,1996,4.6,nm0375476,"nm0000616,nm0001263,nm0079439","Action,Mystery,Thriller"
tt0144900,1999,4.7,nm0006805,nm0001505,Thriller
tt0144907,1998,6.8,nm0000598,"nm0000598,nm0696193,nm0001533","Adventure,Drama,Family"
tt0174204,1999,4.5,nm0911334,"nm0000560,nm0000313","Comedy,Crime,Drama"
tt0046731,1954,5.5,nm0290371,"nm0000063,nm0896331,nm0493508","Drama,History"
tt0052837,1959,6.9,nm0550892,"nm0001229,nm0005348,nm0569410","Comedy,Crime,Thriller"
tt0050086,1957,7.6,nm0202681,"nm0001229,nm0001336","Drama,Thriller,Western"
tt0098193,1989,4.5,nm0691061,"nm0244270,nm0431139","Action,Adventure,Comedy"
tt0078902,1979,7.7,nm0946811,"nm0233209,nm0160550,nm0000598,nm0827663,nm0355097","Comedy,Drama,Romance"
tt0055774,1961,7.0,nm0281507,"nm0000063,nm0447913","Adventure,Drama"
tt6017942,2018,5.6,"nm5239466,nm5192757","nm8077090,nm2930503,nm0000598","Action,Sci-Fi"
tt0283991,2002,6.5,nm0575865,"nm0001520,nm0000792,nm0681665","Comedy,Drama,Family"
tt0084210,1982,6.1,nm0612322,"nm0001001,nm0000313,nm0233209","Comedy,Fantasy,Romance"
tt0046329,1953,6.3,nm0918659,"nm0001682,nm0102787","Comedy,Crime"
tt0050155,1957,6.6,nm0796923,"nm0001682,nm0362567,nm0330388","Crime,Drama"
tt0043663,1951,6.8,nm0330456,"nm0197314,nm0001695,nm0415488","Drama,Romance"
tt0026846,1935,5.1,nm0682744,"nm0000078,nm0398139,nm0388232","Action,Adventure,Crime"
tt0073442,1975,7.7,nm0301145,"nm0700127,nm0627511,nm0841242","Comedy,Romance"
tt0032728,1940,7.1,nm0000406,"nm0000078,nm0593775,nm0402842,nm0000955","Drama,War"
tt3417316,2016,6.3,nm0636940,"nm0000616,nm0000800,nm0144843","Drama,Family,Mystery"
tt2380307,2017,8.4,"nm0881279,nm2937122","nm5645519,nm0305558,nm0000973","Adventure,Animation,Comedy"
tt0051638,1958,5.2,nm0005738,"nm0001072,nm0001695,nm0239210","Adventure,Fantasy,Sci-Fi"
tt2408566,2012,4.8,nm0348323,"nm9064414,nm1956732,nm4126065,nm9064413,nm5380557,nm4888238",Horror
tt0148421,2000,6.9,nm0203429,"nm0000800,nm0341055,nm0556985",Drama
tt2125467,2012,7.6,nm1564757,"nm4936843,nm4936896",Music
tt1596346,2011,7.1,nm0573732,nm0000598,"Drama,Family"
tt0045883,1953,7.1,nm0268513,"nm0000078,nm0000955,nm0665327","Drama,Romance,War"
tt0077369,1978,6.3,nm0001603,"nm0001434,nm0000308,nm0949350","Action,Drama"
tt0054860,1961,4.7,nm0852279,"nm0001682,nm0004983,nm0178114","Comedy,Fantasy"
tt0065003,1969,6.4,nm0641400,"nm0001229,nm0415591,nm0943978","Drama,Family,Western"
tt0103125,1991,6.3,nm0006889,"nm0000131,nm0000652,nm0001597",Drama
tt0100475,1990,4.8,nm0517514,"nm0000558,nm0000885,nm0823289","Comedy,Fantasy,Horror"
tt0062755,1968,7.1,nm0281507,"nm0000348,nm0000020,nm0001421,nm0446037","Crime,Drama,Mystery"
tt0062759,1969,8.5,nm0301145,"nm0631994,nm0592490,nm0660311","Adventure,Comedy,Crime"
tt0096913,1989,6.4,nm0705675,"nm0000616,nm0000469,nm0722221","Action,Drama,Sport"
tt0024339,1933,6.7,nm0215877,"nm0929925,nm0420765","Drama,Romance"
tt0884224,2008,5.7,nm0781733,nm0000131,"Action,Comedy,Thriller"
tt0056059,1962,7.2,nm0001328,"nm0000078,nm0473228,nm0000999","Action,Adventure,Drama"
tt0058403,1964,6.5,nm0145336,"nm0001791,nm0740718","Horror,Mystery,Thriller"
tt0208874,2000,7.0,nm0527109,"nm0000198,nm0000313,nm0000225","Drama,Thriller"
tt0111783,1994,6.4,nm0645549,"nm0847392,nm0297800,nm0008346","Adventure,Fantasy"
tt0039036,1946,6.9,nm0229424,"nm0000053,nm0534972,nm0930103","Drama,Romance,War"
tt0024647,1933,6.0,nm0942862,"nm0000078,nm1349117,nm0570451",Western
tt0048473,1955,8.4,nm0006249,"nm0052333,nm0052343",Drama
tt0070332,1973,6.5,nm0764781,"nm0001768,nm0752813,nm0000313,nm0934113","Action,Crime,Drama"
tt0089910,1985,7.2,nm0936358,"nm0000053,nm0000999","Drama,Romance"
tt0041866,1949,7.4,nm0000406,"nm0000078,nm0000730,nm0424565",Western
tt0061095,1965,4.4,nm0001031,"nm0359894,nm0099677","Adventure,Comedy,Crime"
tt0091554,1986,6.0,nm0001486,"nm0000313,nm0000471","Crime,Mystery,Romance"
tt1900920,2013,5.0,nm0692530,"nm1653451,nm1976481","Drama,Romance"
tt0027869,1936,6.8,nm0782707,"nm0000068,nm0928295,nm0127677","Adventure,Drama,History"
tt0039178,1947,6.9,nm0851537,"nm0002046,nm0908153,nm0237025","Drama,History"
tt0110939,1994,6.2,nm0809321,"nm0000903,nm0000885,nm0122675","Comedy,Crime,Drama"
tt0022938,1932,6.3,nm0782682,"nm0923774,nm0941298,nm0703600",Comedy
tt6010628,2018,6.1,nm2035886,"nm0000191,nm3772243","Romance,Sci-Fi"
tt3513054,2015,5.6,nm0006554,"nm0000191,nm0001354,nm4446467","Adventure,Drama"
tt0065506,1971,4.6,nm0379150,"nm0048939,nm0153508,nm0024919","Crime,Drama"
tt0076451,1977,6.7,nm0000217,"nm0000134,nm0822034,nm0697587","Drama,Music"
tt0028401,1936,6.9,nm0368871,"nm0534045,nm0000020,nm0831872","Adventure,Drama,Romance"
tt0103280,1991,5.0,nm0842830,"nm0001513,nm0001154,nm0006893","Drama,Thriller"
tt0039420,1947,7.9,nm0000581,"nm0001322,nm0001695","Comedy,Drama,Fantasy"
tt0060098,1966,5.4,nm0935636,"nm0639385,nm0001682,nm0593848,nm0557751","Drama,War"
tt0043887,1951,6.8,nm0905729,"nm0000078,nm0000955,nm0285401","Drama,War"
tt2937254,2014,4.4,nm2986450,"nm3821405,nm3080722","Comedy,Sport"
tt0043547,1951,6.5,nm0712947,"nm0000078,nm0752813,nm0852279","Action,Drama,War"
tt0101540,1991,7.3,nm0000217,"nm0000134,nm0000560","Crime,Thriller"
tt0472254,2005,5.9,nm1985821,nm1992048,"Mystery,Sci-Fi,Thriller"
tt4594836,2018,5.8,nm0621993,"nm1460101,nm0000800,nm0793404,nm5043643","Action,Thriller"
tt0054953,1961,7.6,nm0496746,"nm0000057,nm0000060,nm0000063,nm0703033","Action,Adventure,Drama"
tt0118105,1996,5.1,nm0173724,nm0315767,"Drama,Romance"
tt0096203,1988,5.9,nm0467646,"nm0000608,nm0001659,nm0000885","Comedy,Crime"
tt0481141,2007,6.3,nm0382956,nm0001173,"Comedy,Drama,Romance"
tt0031718,1939,5.8,nm0792450,"nm0000078,nm0181003,nm0369058",Western
tt0047190,1954,7.1,nm0767701,"nm0000063,nm0002013,nm0262775","Crime,Drama"
tt0287717,2002,5.1,nm0001675,"nm0754512,nm0000104","Action,Adventure,Comedy"
tt0056452,1962,6.9,nm0718243,"nm0108523,nm0000851,nm0007042,nm0313443","Adventure,Western"
tt0114496,1995,5.7,nm0002120,"nm0000598,nm0000380","Comedy,Drama,Romance"
tt1234548,2009,6.2,nm0381416,"nm0000191,nm0000123,nm0000228,nm0000313","Comedy,War"
tt0047889,1955,6.4,"nm0000078,nm0920074","nm0000078,nm0280707","Action,Adventure"
tt0032146,1939,6.1,nm0792450,"nm0000078,nm0181003,nm0369058,nm0057983",Western
tt0046196,1953,6.5,nm0268513,"nm0001229,nm0838066","Action,Adventure,Drama"
tt0039826,1947,6.3,nm0908831,"nm0001195,nm0805790,nm0000063","Adventure,Fantasy,Romance"
tt0071562,1974,9.0,nm0000338,"nm0000199,nm0000134,nm0000380","Crime,Drama"
tt0088024,1984,5.9,nm0000341,"nm0000633,nm0005430","Action,Crime,Sci-Fi"
tt0038700,1946,7.2,nm0103975,"nm0000053,nm0000731,nm0713270",Drama
tt0084827,1982,6.8,nm0513974,"nm0000313,nm0000310,nm0001831","Action,Adventure,Sci-Fi"
tt0342735,2005,7.4,nm0001885,"nm0207218,nm0000418,nm0000353",Drama
